method,seed,step,episode,episode_return,total_cost,n_served,n_customers,terminated,truncated,n_on_time,n_waited,n_late
random,103,0,61,-92.13639063415636,22.13639063415635,15,15,1,0,4.0,2.0,9.0
random,104,0,62,-43.47633479663699,23.47633479663699,15,15,1,0,9.0,2.0,4.0
random,105,0,63,-54.73955460282396,14.739554602823958,15,15,1,0,5.0,4.0,6.0
random,106,0,64,-36.97504136129221,16.975041361292217,15,15,1,0,6.0,5.0,4.0
random,107,0,65,-87.47973204662469,27.47973204662469,15,15,1,0,4.0,3.0,8.0
random,108,0,66,-114.84777827375532,24.847778273755328,15,15,1,0,3.0,1.0,11.0
random,109,0,67,-74.1588924808041,24.158892480804106,15,15,1,0,6.0,2.0,7.0
random,110,0,68,-43.68951479275078,13.689514792750781,15,15,1,0,8.0,2.0,5.0
random,111,0,69,-63.30482073516565,23.30482073516565,15,15,1,0,7.0,2.0,6.0
random,112,0,70,-25.086527089292616,15.086527089292616,15,15,1,0,9.0,3.0,3.0
random,113,0,71,-85.68606121606514,25.68606121606513,15,15,1,0,4.0,3.0,8.0
random,114,0,72,-94.39052961975275,24.390529619752755,15,15,1,0,3.0,3.0,9.0
random,115,0,73,-82.11861717052268,32.11861717052268,15,15,1,0,4.0,4.0,7.0
random,116,0,74,-114.86559548388175,24.865595483881755,15,15,1,0,2.0,2.0,11.0
random,117,0,75,-76.62966698006005,16.629666980060037,15,15,1,0,4.0,3.0,8.0
random,118,0,76,-78.6815989802596,18.681598980259594,15,15,1,0,4.0,3.0,8.0
random,119,0,77,-115.47007667733287,25.470076677332866,15,15,1,0,3.0,1.0,11.0
random,120,0,78,-92.86304621034506,22.863046210345054,15,15,1,0,3.0,3.0,9.0
random,121,0,79,-41.56181772455975,11.561817724559752,15,15,1,0,5.0,5.0,5.0
random,122,0,80,-66.7220570898502,26.72205708985019,15,15,1,0,7.0,2.0,6.0
random,123,0,81,-28.665884887068103,18.665884887068106,15,15,1,0,9.0,3.0,3.0
random,124,0,82,-90.78526014117354,30.78526014117353,15,15,1,0,5.0,2.0,8.0
random,125,0,83,-86.83316139224598,26.833161392245984,15,15,1,0,4.0,3.0,8.0
random,126,0,84,-31.02627861239182,31.02627861239182,15,15,1,0,8.0,5.0,2.0
random,127,0,85,-94.18183392972907,24.18183392972906,15,15,1,0,2.0,4.0,9.0
random,128,0,86,-47.8542461007608,27.854246100760797,15,15,1,0,9.0,2.0,4.0
random,129,0,87,-114.38907025313848,24.389070253138485,15,15,1,0,1.0,3.0,11.0
random,130,0,88,-97.12014545250645,17.12014545250645,15,15,1,0,4.0,1.0,10.0
random,131,0,89,-47.691129160675125,27.691129160675125,15,15,1,0,7.0,4.0,4.0
random,132,0,90,-70.61462631994675,30.614626319946744,15,15,1,0,5.0,4.0,6.0
random,133,0,91,-39.171175037558925,19.17117503755893,15,15,1,0,8.0,3.0,4.0
random,134,0,92,-85.65508924767573,25.65508924767574,15,15,1,0,5.0,2.0,8.0
random,135,0,93,-50.08582867146726,20.085828671467265,15,15,1,0,6.0,4.0,5.0
random,136,0,94,-63.67345804441119,23.67345804441119,15,15,1,0,4.0,5.0,6.0
random,137,0,95,-59.359411188411855,19.359411188411848,15,15,1,0,6.0,3.0,6.0
random,138,0,96,-69.3278017944446,19.32780179444461,15,15,1,0,6.0,2.0,7.0
random,139,0,97,-86.27566756171305,26.275667561713057,15,15,1,0,6.0,1.0,8.0
random,140,0,98,-81.42397638913373,21.423976389133713,15,15,1,0,6.0,1.0,8.0
random,141,0,99,-41.53512711484006,21.53512711484006,15,15,1,0,8.0,3.0,4.0
greedy,42,0,0,-13.881160086390697,13.881160086390697,15,15,1,0,9.0,4.0,2.0
greedy,43,0,1,-32.378851776634946,12.378851776634942,15,15,1,0,8.0,3.0,4.0
greedy,44,0,2,-42.77754125696926,12.777541256969263,15,15,1,0,8.0,2.0,5.0
greedy,45,0,3,-39.45080741704531,9.450807417045315,15,15,1,0,6.0,4.0,5.0
greedy,46,0,4,-53.86095046753565,13.86095046753565,15,15,1,0,6.0,3.0,6.0
greedy,47,0,5,-62.62253919162532,12.622539191625314,15,15,1,0,6.0,2.0,7.0
greedy,48,0,6,-59.06885510753346,9.068855107533459,15,15,1,0,4.0,4.0,7.0
greedy,49,0,7,-63.30176207813818,13.301762078138182,15,15,1,0,6.0,2.0,7.0
greedy,50,0,8,-69.00521000505455,9.005210005054556,15,15,1,0,4.0,3.0,8.0
greedy,51,0,9,-89.16527929080712,9.165279290807119,15,15,1,0,2.0,3.0,10.0
greedy,52,0,10,-50.98361766327637,10.983617663276366,15,15,1,0,6.0,3.0,6.0
greedy,53,0,11,-53.78087406996775,13.780874069967748,15,15,1,0,5.0,4.0,6.0
greedy,54,0,12,-66.65914276707338,16.659142767073376,15,15,1,0,5.0,3.0,7.0
greedy,55,0,13,-74.25342439162799,14.253424391627995,15,15,1,0,4.0,3.0,8.0
greedy,56,0,14,-13.407240317864382,13.407240317864382,15,15,1,0,10.0,3.0,2.0
greedy,57,0,15,-50.9213732633794,10.921373263379405,15,15,1,0,5.0,4.0,6.0
greedy,58,0,16,-52.41463773329695,12.414637733296942,15,15,1,0,5.0,4.0,6.0
greedy,59,0,17,-62.1761402619498,12.176140261949797,15,15,1,0,5.0,3.0,7.0
greedy,60,0,18,-99.0298632267472,19.02986322674719,15,15,1,0,3.0,2.0,10.0
greedy,61,0,19,-74.89471989746244,14.894719897462448,15,15,1,0,5.0,2.0,8.0
greedy,62,0,20,-60.84262364401054,10.842623644010555,15,15,1,0,6.0,2.0,7.0
greedy,63,0,21,-80.58041119324741,10.580411193247413,15,15,1,0,4.0,2.0,9.0
greedy,64,0,22,-30.64361727173857,10.64361727173857,15,15,1,0,9.0,2.0,4.0
greedy,65,0,23,-50.22606221773803,10.226062217738034,15,15,1,0,5.0,4.0,6.0
greedy,66,0,24,-29.945214485827762,9.945214485827758,15,15,1,0,7.0,4.0,4.0
greedy,67,0,25,-82.10284721354951,12.102847213549516,15,15,1,0,1.0,5.0,9.0
greedy,68,0,26,-52.80985472025873,12.809854720258723,15,15,1,0,6.0,3.0,6.0
greedy,69,0,27,-83.85644269287867,13.85644269287867,15,15,1,0,4.0,2.0,9.0
greedy,70,0,28,-61.075620632348304,11.075620632348315,15,15,1,0,5.0,3.0,7.0
greedy,71,0,29,-51.61607243105044,11.61607243105044,15,15,1,0,5.0,4.0,6.0
greedy,72,0,30,-55.47955738491278,15.479557384912786,15,15,1,0,4.0,5.0,6.0
greedy,73,0,31,-53.43959713871938,13.439597138719382,15,15,1,0,2.0,7.0,6.0
greedy,74,0,32,-69.7886408961663,19.788640896166307,15,15,1,0,5.0,3.0,7.0
greedy,75,0,33,-67.05210058484961,17.05210058484961,15,15,1,0,5.0,3.0,7.0
greedy,76,0,34,-65.32824546528865,15.328245465288646,15,15,1,0,4.0,4.0,7.0
